sample-id	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath	type
SRR908077_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908077_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908077_L001_R2_001.fastq.gz	paired-end
SRR14119289_SPIESS_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119289_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119289_L001_R2_001.fastq.gz	paired-end
SRR10267802_ZHANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR10267802_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR10267802_L001_R2_001.fastq.gz	paired-end
SRR11319465_WANG_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR11319465_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR11319465_L001_R2_001.fastq.gz	paired-end
SRR5487641_PARK_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487641_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5487641_L001_R2_001.fastq.gz	paired-end
SRR13855342_BEIHANG_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855342_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855342_L001_R2_001.fastq.gz	paired-end
SRR8272157_ZHEJIANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272157_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272157_L001_R2_001.fastq.gz	paired-end
SRR13855343_BEIHANG_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855343_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855343_L001_R2_001.fastq.gz	paired-end
SRR30160120_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160120_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160120_L001_R2_001.fastq.gz	paired-end
DRR445948_FIHES_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/DRR445948_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/DRR445948_L001_R2_001.fastq.gz	paired-end
SRR20853643_LASCU_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR20853643_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR20853643_L001_R2_001.fastq.gz	paired-end
SRR30160167_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160167_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160167_L001_R2_001.fastq.gz	paired-end
SRR1523702_AHN_2014	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523702_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523702_L001_R2_001.fastq.gz	paired-end
SRR25536421_CUOG_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536421_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536421_L001_R2_001.fastq.gz	paired-end
